,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,had1,had2,z1,z2,conv,reference,mins,maxx,valid_min,valid_max
34,34,34,34,300.0,200.0,0.6,0.439,-0.057792110584438186,-0.03259987537085718,-0.07002794828977647,-0.02129913141548301,True,True
35,35,35,35,300.0,200.0,0.6,0.511,-0.06156742221672435,-0.03630040435657962,-0.07460152586269171,-0.02276828950382391,True,True
36,36,36,36,300.0,200.0,0.6,0.583,-0.06446229831038908,-0.039670090499923774,-0.07811116475735967,-0.02392092993157402,True,True
37,37,37,37,300.0,200.0,0.6,0.6559999999999999,-0.06697637030668177,-0.042731624249480925,-0.08116435719819172,-0.024929693813957186,True,True
38,38,38,38,300.0,200.0,0.6,0.728,-0.06905305016687865,-0.04551008506382074,-0.08373091181385461,-0.02576251324066979,True,True
39,39,39,39,300.0,200.0,0.6,0.8,-0.0707749344810757,-0.04802995959445133,-0.08605944965925529,-0.026456122176729,True,True
40,40,40,40,300.0,205.0,0.25,0.15,-0.010988658748361314,-0.05031277487175795,-0.016134970411829038,0.015943671586489384,True,True
41,41,41,41,300.0,205.0,0.25,0.222,-0.01164599470134082,-0.05238026191191182,-0.019937019574416702,0.03767819027873622,True,True
42,42,42,42,300.0,205.0,0.25,0.294,-0.004189694417840406,-0.05425127237302596,-0.019858065980443384,0.057172071195297165,True,True
43,43,43,43,300.0,205.0,0.25,0.3670000000000001,0.005192686146643825,-0.055942662907857765,-0.01615905609466602,0.07088918209409749,True,True
44,44,44,44,300.0,205.0,0.25,0.439,0.015202365521458644,-0.05747284245655952,-0.012838235459075378,0.0818952155972784,True,True
45,45,45,45,300.0,205.0,0.25,0.511,0.02447622411137512,-0.0206389247233908,-0.011729764962029049,0.09253293491791467,True,True
46,46,46,46,300.0,205.0,0.25,0.583,0.03235432768462684,-0.027950523130458173,-0.010468107671376488,0.1012220350199972,True,True
47,47,47,47,300.0,205.0,0.25,0.6559999999999999,0.03874830469856165,-0.035059835867158703,-0.009153268302912576,0.10842365464827608,True,True
48,48,48,48,300.0,205.0,0.25,0.728,0.04420202600400912,-0.04191415075082697,-0.007844734459844528,0.11490472331733782,True,True
49,49,49,49,300.0,205.0,0.25,0.8,0.04864419550197058,-0.04847498346563062,-0.006930761226994994,0.1205022934691208,True,True
50,50,50,50,300.0,205.0,0.35,0.15,-0.007440646698243625,-0.05472020791368097,-0.01071185171907003,0.005778395370610892,True,True
51,51,51,51,300.0,205.0,0.35,0.222,-0.011542583357651086,-0.060646192423773976,-0.017839162249091187,0.013269039628048387,True,True
52,52,52,52,300.0,205.0,0.35,0.294,-0.01203467403609292,-0.0662558028743651,-0.020511532322150527,0.01996398937705277,True,True
53,53,53,53,300.0,205.0,0.35,0.3670000000000001,-0.01026186918429473,-0.0715579009688437,-0.01977825546160755,0.024694024524024985,True,True
54,54,54,54,300.0,205.0,0.35,0.439,-0.006342180304983772,-0.07655300872224441,-0.017641046747513416,0.027720600295872897,True,True
55,55,55,55,300.0,205.0,0.35,0.511,-0.0029278420790872593,-0.08125509201923609,-0.015113365657103691,0.029970632166159233,True,True
56,56,56,56,300.0,205.0,0.35,0.583,0.00014929543250220706,-0.08565844385161381,-0.01291390616773306,0.03196362814267062,True,True
57,57,57,57,300.0,205.0,0.35,0.6559999999999999,0.002692435630716439,-0.08978260131145707,-0.010418271906604949,0.03387791517491446,True,True
58,58,58,58,300.0,205.0,0.35,0.728,0.00484970965812181,-0.09363539511239301,-0.008906817238792492,0.035816491957365616,True,True
59,59,59,59,300.0,205.0,0.35,0.8,0.006565436789735982,-0.09723236087965166,-0.00775699203148263,0.0376293338597059,True,True
60,60,60,60,300.0,205.0,0.45,0.15,-0.007908551801171722,-0.016188154254894227,-0.013324660360639878,0.005126780806946952,True,True
61,61,61,61,300.0,205.0,0.45,0.222,-0.014372735342647831,-0.013931836448852744,-0.02549521677067296,0.011827858862494751,True,True
62,62,62,62,300.0,205.0,0.45,0.294,-0.01864777932855605,-0.00909167786485162,-0.034215053595549466,0.017679222396210722,True,True
63,63,63,63,300.0,205.0,0.45,0.3670000000000001,-0.020838422708061285,-0.003100969815712107,-0.03912120622647783,0.021657515916557873,True,True
64,64,64,64,300.0,205.0,0.45,0.439,-0.02169186033391684,0.003256792733824644,-0.0414130041691784,0.02413318703790441,True,True
65,65,65,65,300.0,205.0,0.45,0.511,-0.021873433238166186,0.00974383829861403,-0.04243273494026791,0.02601197677440943,True,True
66,66,66,66,300.0,205.0,0.45,0.583,-0.02178512427732341,0.015755665087037574,-0.0429909498911438,0.02772854085014082,True,True
67,67,67,67,300.0,205.0,0.45,0.6559999999999999,-0.02164648611274393,0.02116615926103774,-0.04348746139200918,0.029467069214214714,True,True
68,68,68,68,300.0,205.0,0.45,0.728,-0.0214976091262906,0.025833964407389567,-0.04401349440704597,0.03128243330221341,True,True
69,69,69,69,300.0,205.0,0.45,0.8,-0.021387982051834408,0.029755154128849926,-0.04456062295567391,0.033014210261322764,True,True
70,70,70,70,300.0,205.0,0.6,0.15,-0.005474652502404701,0.033017586162395585,-0.012227230138829677,0.0032870861032361647,True,True
71,71,71,71,300.0,205.0,0.6,0.222,-0.009348676368029359,0.03581828068785275,-0.02304246096880529,0.00837205682478818,True,True
72,72,72,72,300.0,205.0,0.6,0.294,-0.01193719600161024,0.038292647342660635,-0.031287420942189954,0.013085473664115874,True,True
73,73,73,73,300.0,205.0,0.6,0.3670000000000001,-0.013508823245384329,0.04056959054592646,-0.036658870613473116,0.01645506000228241,True,True
