had1,had2,z1,z2,fit_line,conv,ffs1,ffs2,ffs3,ffs4
300.0,100.0,0.35,0.15,-0.013058878803091098,-0.00875672635148518,0.009734702860419116,-0.016419793037080996,-0.0008242682229635101,-0.001256840433392421
300.0,100.0,0.35,0.20357142857142854,-0.019214445867661984,-0.016316669900256518,0.01596905730278417,-0.029028200892616814,-0.0012884854703742478,-0.0019646767786129994
300.0,100.0,0.35,0.2571428571428571,-0.025627600491035782,-0.024454392660626184,0.0214555194790916,-0.041735975795780575,-0.0016631633217442231,-0.002535983860433173
300.0,100.0,0.35,0.3107142857142857,-0.03204985057885544,-0.03237248902855921,0.0259035301510806,-0.05340874278776,-0.001932655842116029,-0.002946904828467519
300.0,100.0,0.35,0.3642857142857143,-0.03840790517031666,-0.04022917491490573,0.029652543062972662,-0.06453616567268708,-0.0021257925917327015,-0.0032413988649105203
300.0,100.0,0.35,0.4178571428571428,-0.044859663499602416,-0.04846504342523735,0.032949271587334225,-0.07572923035105251,-0.002258311910607077,-0.003443463718955379
300.0,100.0,0.35,0.4714285714285714,-0.051501755869516434,-0.0575876227135357,0.036002524028608054,-0.0876875512836255,-0.0023439161595322786,-0.0035739926879511277
300.0,100.0,0.35,0.525,-0.05856224765347806,-0.0680308930353008,0.03881723154587617,-0.10083140769724176,-0.0023727278058006313,-0.003617924554998574
300.0,100.0,0.35,0.5785714285714285,-0.06611596322031743,-0.08010659372895028,0.041196155213215194,-0.11544224099783316,-0.0023304705683868604,-0.003553490911791825
300.0,100.0,0.35,0.6321428571428571,-0.07414578282628348,-0.0935561104857195,0.043063867151347406,-0.1310596122365606,-0.0022094566833144877,-0.003368969490822773
300.0,100.0,0.35,0.6857142857142857,-0.08256743752863238,-0.10773285394650563,0.0442222296720324,-0.14681426348889182,-0.002010369024948098,-0.0030654015358133366
300.0,100.0,0.35,0.7392857142857143,-0.0911478805368676,-0.12232336231119346,0.044504678034473825,-0.16244134638986163,-0.0017430156406915622,-0.002657742312787832
300.0,100.0,0.35,0.7928571428571428,-0.09970772497965473,-0.13662169212921027,0.04417193276446555,-0.17720057371623527,-0.0014275580993300967,-0.002176734090032165
300.0,100.0,0.35,0.8464285714285714,-0.1080824539746632,-0.15050134743596147,0.04336345342032064,-0.1911328775062491,-0.0010840836581156033,-0.0016530058259445694
300.0,100.0,0.35,0.9,-0.11627271292887313,-0.1643774297632413,0.042293942675263235,-0.20484263011585432,-0.0007315660011636044,-0.0011154885076751662
300.0,100.0,0.45,0.15,-0.014521251632870475,-0.00753965924872583,0.003507871348628591,-0.0068719914153839165,-0.002542152821342194,-0.0016348967913211482
300.0,100.0,0.45,0.20357142857142854,-0.02043185322177803,-0.01286057047055034,0.005915116413639817,-0.012140549266715364,-0.004035344830953172,-0.0025951910760882066
300.0,100.0,0.45,0.2571428571428571,-0.026502182428578814,-0.018030850430322765,0.008186952141224208,-0.017531924417743507,-0.005290785477561889,-0.003402583876239009
