had1,had2,z1,z2,fit_line,conv,ffs1,ffs2,ffs3,ffs4
300.0,200.0,0.35,0.7392857142857143,-0.04498652820709224,-0.093177712631791,0.003029984256038222,-0.0018676995725843324,-0.049464888473467715,-0.04486859918170385
300.0,200.0,0.35,0.7928571428571428,-0.04645039588378788,-0.1030324301118154,0.0026386380686282004,-0.001629875349573881,-0.05443712906782213,-0.049582666784570906
300.0,200.0,0.35,0.8464285714285714,-0.047770667040616714,-0.11135247038467799,0.0020933494720233497,-0.0012907569729728114,-0.058661393798195266,-0.05346817941448925
300.0,200.0,0.35,0.9,-0.04897861343517798,-0.1184393495913372,0.0014198837528608065,-0.0008744970673110232,-0.06228422986404784,-0.056700249388465164
300.0,200.0,0.45,0.15,-0.0145053790581364,-0.010257749302003278,0.0002967051049915342,-0.0005218200919724073,-0.009029229962905427,-0.0010035668614163306
300.0,200.0,0.45,0.20357142857142854,-0.01947096734455649,-0.01789733149948602,0.000395162835557538,-0.0006947090743696791,-0.015977628905386787,-0.0016199629206858285
300.0,200.0,0.45,0.2571428571428571,-0.024168754837821344,-0.024897036944368903,0.0004406135423963955,-0.000774595310563777,-0.02235926755154658,-0.0022037969722547785
300.0,200.0,0.45,0.3107142857142857,-0.02855388556061253,-0.030709368110610615,0.000458358916280095,-0.0008057722916526735,-0.02760797851088187,-0.0027544748063387126
300.0,200.0,0.45,0.3642857142857143,-0.03259987537085718,-0.03588242011632597,0.00047404967502229526,-0.000833021619324008,-0.03218746521902263,-0.003336448440000696
300.0,200.0,0.45,0.4178571428571428,-0.036300404356579614,-0.041016902738790585,0.0004970332444672196,-0.0008736693599043428,-0.036631685939891086,-0.004009052245181919
300.0,200.0,0.45,0.4714285714285714,-0.039670090499923774,-0.04698589112967571,0.0005305382279935662,-0.0009326356580501871,-0.0417644680552434,-0.0048194514524101855
300.0,200.0,0.45,0.525,-0.042731624249480925,-0.053994918658102374,0.0005658740292564258,-0.000994557963193569,-0.047800046368678066,-0.00576623677723501
300.0,200.0,0.45,0.5785714285714285,-0.04551008506382074,-0.06217732776793559,0.0005942999333364071,-0.0010442969846040774,-0.05489526447261863,-0.006832055459945102
300.0,200.0,0.45,0.6321428571428571,-0.04802995959445133,-0.07110489543336641,0.0006045321082004407,-0.0010626234060639498,-0.06270520953826338,-0.007941594597239506
300.0,200.0,0.45,0.6857142857142857,-0.05031277487175795,-0.080098269046563,0.0005887879436599945,-0.0010341704963087934,-0.07064724554534417,-0.009005640948570004
300.0,200.0,0.45,0.7392857142857143,-0.05238026191191182,-0.08840362380533769,0.0005416551035334942,-0.0009516664464743501,-0.07807320986057553,-0.009920402601821292
300.0,200.0,0.45,0.7928571428571428,-0.05425127237302596,-0.09547768714847976,0.0004634460030935655,-0.0008163627784828477,-0.08448398440851744,-0.010640785964573065
300.0,200.0,0.45,0.8464285714285714,-0.055942662907857765,-0.10111203358109143,0.000361922374196642,-0.0006364150315846021,-0.0896768865905124,-0.011160654333191071
300.0,200.0,0.45,0.9,-0.05747284245655952,-0.10560446036934303,0.00024211610181068012,-0.00042489782200040625,-0.09389307473638223,-0.011528603912771057
300.0,200.0,0.6,0.15,-0.0206389247233908,-0.016189190366228602,2.133815895922639e-05,-0.00016302696013222213,-0.015705127122616732,-0.0003426872805775679
300.0,200.0,0.6,0.20357142857142854,-0.027950523130458173,-0.02769167831743804,2.7399709052709145e-05,-0.00021064625371766194,-0.0270376290838646,-0.000467840141259344
300.0,200.0,0.6,0.2571428571428571,-0.035059835867158703,-0.03792557006959407,2.9907955679472645e-05,-0.00023033789000478672,-0.03717781246065379,-0.0005478023758802053
300.0,200.0,0.6,0.3107142857142857,-0.04191415075082697,-0.04612072005856611,3.071226271069287e-05,-0.00023620987066835618,-0.04531351153395909,-0.0006032811115034554
300.0,200.0,0.6,0.3642857142857143,-0.04847498346563062,-0.052919301457180996,3.127389882433177e-05,-0.0002404227474006756,-0.05205362806941548,-0.0006571607777322864
300.0,200.0,0.6,0.4178571428571428,-0.05472020791368097,-0.05909248213486695,3.2301100619059804e-05,-0.00024829568500390087,-0.05815154495790173,-0.0007237066374432387
300.0,200.0,0.6,0.4714285714285714,-0.060646192423773976,-0.06565701920927715,3.364091000689099e-05,-0.000258816735391055,-0.06463163161554729,-0.0008000047185025973
300.0,200.0,0.6,0.525,-0.0662558028743651,-0.0728844323327832,3.48303850725039e-05,-0.00026792339112585907,-0.0717717151145357,-0.0008796800117758206
300.0,200.0,0.6,0.5785714285714285,-0.0715579009688437,-0.08056256492463375,3.5239664041027697e-05,-0.0002709532620139294,-0.07937561508869535,-0.0009512899050347799
300.0,200.0,0.6,0.6321428571428571,-0.07655300872224441,-0.08833715715261621,3.44596029427656e-05,-0.0002648660380345969,-0.08710107170682926,-0.001005712467601661
300.0,200.0,0.6,0.6857142857142857,-0.08125509201923609,-0.09560078755208092,3.2302793924858334e-05,-0.00024783964857023644,-0.09434651283066528,-0.0010387378667702364
300.0,200.0,0.6,0.7392857142857143,-0.08565844385161381,-0.10190294185741196,2.8694706726182133e-05,-0.00022021775680144314,-0.1006737666997092,-0.0010376521076274705
300.0,200.0,0.6,0.7928571428571428,-0.08978260131145707,-0.10702711696450018,2.3855689913051528e-05,-0.0001835577858450383,-0.10585705868547844,-0.001010356183089741
300.0,200.0,0.6,0.8464285714285714,-0.093635395112393,-0.11098500829965428,1.821889262720275e-05,-0.00013995162911127864,-0.10989996770987412,-0.0009633078532960931
300.0,200.0,0.6,0.9,-0.09723236087965166,-0.11404631194312422,1.1973067670939326e-05,-9.180246748429972e-05,-0.11306414377539961,-0.0009023387679112418
300.0,205.0,0.25,0.15,-0.016188154254894227,-0.006600043527794414,0.009973614779540767,-0.0018048833942266983,-0.00031830669091405256,-0.014461634273651049
300.0,205.0,0.25,0.20357142857142854,-0.013931836448852744,-0.0076216058260080806,0.01731631806851245,-0.0022455334077987744,-0.0003958739949935059,-0.02226634488380325
300.0,205.0,0.25,0.2571428571428571,-0.00909167786485162,-0.006343285412694375,0.024973310598682272,-0.002398091390400737,-0.00042218242221720787,-0.02838093425178598
300.0,205.0,0.25,0.3107142857142857,-0.0031009698157121067,-0.0027388796044194577,0.03247072735084743,-0.0024192615840914777,-0.0004260139492519914,-0.03286849369788804
300.0,205.0,0.25,0.3642857142857143,0.003256792733824644,0.0011492922812116372,0.04024938868700075,-0.002444458372168992,-0.00043033960066205044,-0.036646046795578646
300.0,205.0,0.25,0.4178571428571428,0.00974383829861403,0.006099033059070722,0.04908556230190648,-0.002513638460350365,-0.000443132800979846,-0.04040952168508537
300.0,205.0,0.25,0.4714285714285714,0.015755665087037574,0.01198825094448359,0.05974942307514643,-0.0026419443207149496,-0.00046450286311749067,-0.04497949147765125
300.0,205.0,0.25,0.525,0.02116615926103774,0.018983778012366302,0.07251588621916431,-0.0027883285975707204,-0.0004903337180635529,-0.050586906777790396
300.0,205.0,0.25,0.5785714285714285,0.025833964407389574,0.027058270417709786,0.08734754960905293,-0.002909338385785227,-0.0005095082845713056,-0.05721288316605156
300.0,205.0,0.25,0.6321428571428571,0.029755154128849926,0.03596770266606551,0.10360863285234247,-0.0029532222526677367,-0.0005168397508728027,-0.06451671113529901
300.0,205.0,0.25,0.6857142857142857,0.033017586162395585,0.04525416815518769,0.12020063836929241,-0.002878244173205494,-0.000507400977600025,-0.07189689905299586
300.0,205.0,0.25,0.7392857142857143,0.03581828068785275,0.05444403270676055,0.13594421462737669,-0.002658871369594836,-0.0004655445404118659,-0.07868890686124484
300.0,205.0,0.25,0.7928571428571428,0.038292647342660635,0.06313441622714233,0.14983350930963268,-0.0022919669331206817,-0.00040132823926389413,-0.08432621019576078
300.0,205.0,0.25,0.8464285714285714,0.04056959054592646,0.07119799487039745,0.16170683842424904,-0.0017966452969425072,-0.0003136957350570529,-0.0886643684112021
300.0,205.0,0.25,0.9,0.042757468157055716,0.07881073929664248,0.17191307647077597,-0.00120704555087784,-0.00021128252189509802,-0.09197233181024
