had1,had2,z1,z2,fit_line,conv
300.0,100.0,0.6,0.6857142857142857,-0.07676150535143995,-0.07106150747187011
300.0,100.0,0.6,0.7392857142857143,-0.084713706637551,-0.07675830848389716
300.0,100.0,0.6,0.7928571428571428,-0.09375424184575974,-0.0836566329427637
300.0,100.0,0.6,0.8464285714285714,-0.10425066924634452,-0.09219750946071845
300.0,100.0,0.6,0.9,-0.11685362972963755,-0.10313431390009718
300.0,105.0,0.25,0.15,-0.002372964565989944,-0.0010658836037298342
300.0,105.0,0.25,0.20357142857142854,0.0020075232298218627,0.0010805426161404417
300.0,105.0,0.25,0.2571428571428571,0.0072919379668291906,0.005922908579948155
300.0,105.0,0.25,0.3107142857142857,0.012785143424857473,0.011793879042567118
300.0,105.0,0.25,0.3642857142857143,0.018327753320457413,0.017929618231046936
300.0,105.0,0.25,0.4178571428571428,0.024208048764992243,0.024405210406474167
300.0,105.0,0.25,0.4714285714285714,0.03054548743609193,0.03129092921446125
300.0,105.0,0.25,0.525,0.03764018735987708,0.038901816636291914
300.0,105.0,0.25,0.5785714285714285,0.045527961005864585,0.04728037588197076
300.0,105.0,0.25,0.6321428571428571,0.0540557632869404,0.05627383089875239
300.0,105.0,0.25,0.6857142857142857,0.06298107831171589,0.06563561219447664
300.0,105.0,0.25,0.7392857142857143,0.07198151062589403,0.07504467905934635
300.0,105.0,0.25,0.7928571428571428,0.080796903181521,0.0842610924593526
300.0,105.0,0.25,0.8464285714285714,0.08924812356815198,0.09316407150664799
300.0,105.0,0.25,0.9,0.09734431711984508,0.1018463418477275
300.0,105.0,0.35,0.15,-0.006081702159306372,-8.757169680350424e-06
300.0,105.0,0.35,0.20357142857142854,-0.005978325063309703,-0.003765104042038894
300.0,105.0,0.35,0.2571428571428571,-0.005064853762878098,-0.004970396332172045
300.0,105.0,0.35,0.3107142857142857,-0.003581934994692537,-0.00421333841642518
300.0,105.0,0.35,0.3642857142857143,-0.0016209754451922665,-0.0023773131867203734
300.0,105.0,0.35,0.4178571428571428,0.0009169573936334672,0.0002605071708123608
300.0,105.0,0.35,0.4714285714285714,0.004058307985806839,0.00352288460590822
300.0,105.0,0.35,0.525,0.007938777353969051,0.00748986279927669
300.0,105.0,0.35,0.5785714285714285,0.01256335599431045,0.012077253991532273
300.0,105.0,0.35,0.6321428571428571,0.01782016069611016,0.017164860548214683
300.0,105.0,0.35,0.6857142857142857,0.023533164450475253,0.0225981465917313
300.0,105.0,0.35,0.7392857142857143,0.02947614695209455,0.028170918048417246
300.0,105.0,0.35,0.7928571428571428,0.03544973505158671,0.03373401589965846
300.0,105.0,0.35,0.8464285714285714,0.041305214452426894,0.039234406690899865
300.0,105.0,0.35,0.9,0.047005379166905815,0.044527317006766126
300.0,105.0,0.45,0.15,-0.011082853420528477,0.0009500151553590853
300.0,105.0,0.45,0.20357142857142854,-0.013792137966952066,-0.008147557212389819
300.0,105.0,0.45,0.2571428571428571,-0.01590941690236955,-0.014554952850640025
300.0,105.0,0.45,0.3107142857142857,-0.017500873370813734,-0.018229019959241234
300.0,105.0,0.45,0.3642857142857143,-0.01856712633402499,-0.019993952874952342
300.0,105.0,0.45,0.4178571428571428,-0.019006969876985403,-0.02036271691693195
300.0,105.0,0.45,0.4714285714285714,-0.018758138344005453,-0.01969260699245284
300.0,105.0,0.45,0.525,-0.01767763619959429,-0.01814024226940095
300.0,105.0,0.45,0.5785714285714285,-0.015692722565288822,-0.01572631452974918
300.0,105.0,0.45,0.6321428571428571,-0.01281722911448816,-0.012688343212043962
300.0,105.0,0.45,0.6857142857142857,-0.009132356850495722,-0.00909023116802541
300.0,105.0,0.45,0.7392857142857143,-0.004781818315197975,-0.005070486350939784
300.0,105.0,0.45,0.7928571428571428,7.389487617446989e-05,-0.0008442353510412501
300.0,105.0,0.45,0.8464285714285714,0.0052823252707335025,0.003531334025824067
300.0,105.0,0.45,0.9,0.010760975036172007,0.008034411581020421
300.0,105.0,0.6,0.15,-0.015327227187344222,0.0018561958956095055
300.0,105.0,0.6,0.20357142857142854,-0.0203211309339953,-0.012212811112801425
300.0,105.0,0.6,0.2571428571428571,-0.02501559006181095,-0.023140706208435367
300.0,105.0,0.6,0.3107142857142857,-0.0293933606906966,-0.030637178137938252
300.0,105.0,0.6,0.3642857142857143,-0.033416682216860484,-0.035500125764732465
300.0,105.0,0.6,0.4178571428571428,-0.037003702214582115,-0.0384596019658903
300.0,105.0,0.6,0.4714285714285714,-0.04007524196876136,-0.040018451342487694
300.0,105.0,0.6,0.525,-0.04248929329053234,-0.04072801740309153
300.0,105.0,0.6,0.5785714285714285,-0.044092591152025615,-0.04027612861551286
300.0,105.0,0.6,0.6321428571428571,-0.044721156743840765,-0.03916188237659657
300.0,105.0,0.6,0.6857142857142857,-0.04419052803030598,-0.03720064434101903
