,Unnamed: 0.1,had1,had2,z1,z2,mins,maxx,fit_line,conv,valid_min,valid_max,reference
76,76,300.0,205.0,0.6,0.583,-0.03909695766430523,0.0031864492764985606,,-0.015322521859922956,True,True,-0.01237602936202931
77,77,300.0,205.0,0.6,0.6559999999999999,-0.04028437613154635,0.0038910672035941856,,-0.015431981775624697,True,True,-0.012530950073676196
78,78,300.0,205.0,0.6,0.728,-0.04116861821752944,0.004718633733633231,,-0.01533792905393972,True,True,-0.011804618070565234
79,79,300.0,205.0,0.6,0.8,-0.041845276231691875,0.005550308467372781,,-0.015152796703847143,True,True,-0.010440907945932444
80,80,310.0,200.0,0.25,0.15,-0.01642604198164579,0.0065904462152214256,,-0.010988658748361314,True,True,-0.008555126674274756
81,81,310.0,200.0,0.25,0.222,-0.020936516002661727,0.01973754859016484,,-0.01164599470134082,True,True,-0.006482034504706851
82,82,310.0,200.0,0.25,0.294,-0.01817384379028818,0.03525839607330583,,-0.004189694417840406,True,True,-0.004378129710218427
83,83,310.0,200.0,0.25,0.3670000000000001,-0.015895905123351598,0.04945160975884164,,0.005192686146643825,True,True,-0.0024043972433537572
84,84,310.0,200.0,0.25,0.439,-0.014059199023621283,0.061259553386775564,,0.015202365521458644,True,True,-0.0006470877026436183
85,85,310.0,200.0,0.25,0.511,-0.0119444168515211,0.07100244639836899,,0.02447622411137512,True,True,0.0008830020722331284
86,86,310.0,200.0,0.25,0.583,-0.009875992535334383,0.07902889640049164,,0.03235432768462684,True,True,0.0022403592973720358
87,87,310.0,200.0,0.25,0.6559999999999999,-0.00800495813583648,0.0856684990446911,,0.03874830469856165,True,True,0.003477566662803323
88,88,310.0,200.0,0.25,0.728,-0.005752575555246145,0.09160403479665398,,0.04420202600400912,True,True,0.004648314365500474
89,89,310.0,200.0,0.25,0.8,-0.0043361834766204995,0.09667319858910466,,0.04864419550197058,True,True,0.005803170977718443
90,90,310.0,200.0,0.35,0.15,-0.0102746879410189,0.0014499746741281974,,-0.007440646698243625,True,True,-0.010707704581681856
91,91,310.0,200.0,0.35,0.222,-0.017044964907119153,0.004878877774574822,,-0.011542583357651086,True,True,-0.01355693854723568
92,92,310.0,200.0,0.35,0.294,-0.019380124727304254,0.00875791346893733,,-0.01203467403609292,True,True,-0.01597739879547533
93,93,310.0,200.0,0.35,0.3670000000000001,-0.018330234780949185,0.012017256806323517,,-0.01026186918429473,True,True,-0.01802255922237551
94,94,310.0,200.0,0.35,0.439,-0.01572622020839876,0.01450610619678733,,-0.006342180304983772,True,True,-0.0197239108023479
95,95,310.0,200.0,0.35,0.511,-0.013107743720285708,0.016536180855718816,,-0.0029278420790872593,True,True,-0.02108064168156197
96,96,310.0,200.0,0.35,0.583,-0.009932428847931584,0.019026400270346418,,0.00014929543250220706,True,True,-0.02216718157205286
97,97,310.0,200.0,0.35,0.6559999999999999,-0.008145751946702105,0.02138917089081255,,0.002692435630716439,True,True,-0.02302910896427604
