had1,z1,pt,mins,maxx,fit_line
310.0,0.45,0.44999999999999996,-0.05490342934652978,-0.012614814437981728,-0.036889334919057694
310.0,0.45,0.525,-0.03611665326312614,-0.0029599523539627585,-0.016897769908717043
310.0,0.45,0.6,-0.02189510376065797,-0.0005315856880203878,-0.006566572965468937
310.0,0.45,0.6749999999999999,-0.012268906992616535,-7.342804462132746e-05,-0.0021754263769688345
310.0,0.45,0.75,-0.006255451921612179,-7.826996920230259e-06,-0.0006164397446228507
310.0,0.45,0.825,-0.0029089461592467754,-6.45361577696345e-07,-0.00014976410183702914
310.0,0.45,0.8999999999999999,-0.001242780857030783,-4.123314605936912e-08,-3.1250455686382075e-05
310.0,0.45,0.975,-0.0004869828661789592,-2.044103740344993e-09,-5.6080798170149684e-06
310.0,0.45,1.05,-0.00017487347754469352,-7.870847879730828e-11,-8.664235592429596e-07
310.0,0.6,0.0,-0.0,-0.0,-0.0
310.0,0.6,0.075,-0.2485888676142567,-0.06961632068245369,-0.13301714482611277
310.0,0.6,0.15,-0.34903003642150643,-0.12200180698728592,-0.21440805853385253
310.0,0.6,0.22499999999999998,-0.30221004517165523,-0.14647108438130158,-0.224476823633646
310.0,0.6,0.3,-0.2075547989487292,-0.14298904247590033,-0.18091936223368044
310.0,0.6,0.375,-0.14692638099045952,-0.0639590590985432,-0.11838741076200346
310.0,0.6,0.44999999999999996,-0.10445975257923845,-0.019875818503888826,-0.06440697282190326
310.0,0.6,0.525,-0.07151944955145112,-0.004663681424467696,-0.029502679016835842
310.0,0.6,0.6,-0.044190963708487074,-0.0008375629071915645,-0.011464914925899293
310.0,0.6,0.6749999999999999,-0.024762377451150643,-0.000115692743255481,-0.003798187954456682
310.0,0.6,0.75,-0.012629719296750226,-1.2332164771968144e-05,-0.0010762736158128356
310.0,0.6,0.825,-0.005912978232920232,-1.0168274492453125e-06,-0.0002614807899865678
310.0,0.6,0.8999999999999999,-0.002530948450354533,-6.496667322769432e-08,-5.4561765737475545e-05
310.0,0.6,0.975,-0.0009917504952961442,-3.220676383783381e-09,-9.791432812494137e-06
310.0,0.6,1.05,-0.00035613338787442183,-1.2401256054803866e-10,-1.5127331179828016e-06
