Unnamed: 0,had1,had2,z1,z2,mins,maxx,fit_line,conv
45,300.0,105.0,0.25,0.511,,,,0.035095362357708784
46,300.0,105.0,0.25,0.583,,,,0.04614577076852619
47,300.0,105.0,0.25,0.6559999999999999,,,,0.05846129256241218
48,300.0,105.0,0.25,0.728,,,,0.0720616361390221
49,300.0,105.0,0.25,0.8,,,,0.08456064546017455
50,300.0,105.0,0.35,0.15,,,,-0.0042938660915727515
51,300.0,105.0,0.35,0.222,,,,-0.005472536217464647
52,300.0,105.0,0.35,0.294,,,,-0.004588833272231814
53,300.0,105.0,0.35,0.36700000000000005,,,,-0.0019619441032558836
54,300.0,105.0,0.35,0.439,,,,0.0012330736144815727
55,300.0,105.0,0.35,0.511,,,,0.0053971282608689195
56,300.0,105.0,0.35,0.583,,,,0.010637405798837695
57,300.0,105.0,0.35,0.6559999999999999,,,,0.016730286959266812
58,300.0,105.0,0.35,0.728,,,,0.023629675825238106
59,300.0,105.0,0.35,0.8,,,,0.030058589332593658
60,300.0,105.0,0.45,0.15,,,,-0.008180189557045994
61,300.0,105.0,0.45,0.222,,,,-0.013876509018345593
62,300.0,105.0,0.45,0.294,,,,-0.01719216449857903
63,300.0,105.0,0.45,0.36700000000000005,,,,-0.018440569452414988
64,300.0,105.0,0.45,0.439,,,,-0.018124613725899727
65,300.0,105.0,0.45,0.511,,,,-0.01655505628345779
66,300.0,105.0,0.45,0.583,,,,-0.013776081875951562
67,300.0,105.0,0.45,0.6559999999999999,,,,-0.009928910261273918
68,300.0,105.0,0.45,0.728,,,,-0.005010372954067634
69,300.0,105.0,0.45,0.8,,,,-7.586536128285286e-05
70,300.0,105.0,0.6,0.15,,,,-0.012014260144836112
71,300.0,105.0,0.6,0.222,,,,-0.021611286976485577
72,300.0,105.0,0.6,0.294,,,,-0.028699275770444732
73,300.0,105.0,0.6,0.36700000000000005,,,,-0.03307360973457409
74,300.0,105.0,0.6,0.439,,,,-0.03548637670904212
75,300.0,105.0,0.6,0.511,,,,-0.03661928923493798
76,300.0,105.0,0.6,0.583,,,,-0.036488477199203236
77,300.0,105.0,0.6,0.6559999999999999,,,,-0.034983881920513805
78,300.0,105.0,0.6,0.728,,,,-0.03194539506323966
79,300.0,105.0,0.6,0.8,,,,-0.02778160875029982
80,310.0,100.0,0.25,0.15,,,,-0.0021108741965629894
81,310.0,100.0,0.25,0.222,,,,0.0024071743656971572
82,310.0,100.0,0.25,0.294,,,,0.009411954715915412
83,310.0,100.0,0.25,0.36700000000000005,,,,0.017273978496870467
84,310.0,100.0,0.25,0.439,,,,0.025635437134069676
85,310.0,100.0,0.25,0.511,,,,0.035095362357708784
86,310.0,100.0,0.25,0.583,,,,0.04614577076852619
87,310.0,100.0,0.25,0.6559999999999999,,,,0.05846129256241218
88,310.0,100.0,0.25,0.728,,,,0.0720616361390221
89,310.0,100.0,0.25,0.8,,,,0.08456064546017455
90,310.0,100.0,0.35,0.15,,,,-0.0042938660915727515
91,310.0,100.0,0.35,0.222,,,,-0.005472536217464647
92,310.0,100.0,0.35,0.294,,,,-0.004588833272231814
93,310.0,100.0,0.35,0.36700000000000005,,,,-0.0019619441032558836
94,310.0,100.0,0.35,0.439,,,,0.0012330736144815727
95,310.0,100.0,0.35,0.511,,,,0.0053971282608689195
96,310.0,100.0,0.35,0.583,,,,0.010637405798837695
97,310.0,100.0,0.35,0.6559999999999999,,,,0.016730286959266812
98,310.0,100.0,0.35,0.728,,,,0.023629675825238106
99,310.0,100.0,0.35,0.8,,,,0.030058589332593658
100,310.0,100.0,0.45,0.15,,,,-0.008180189557045994
101,310.0,100.0,0.45,0.222,,,,-0.013876509018345593
102,310.0,100.0,0.45,0.294,,,,-0.01719216449857903
103,310.0,100.0,0.45,0.36700000000000005,,,,-0.018440569452414988
104,310.0,100.0,0.45,0.439,,,,-0.018124613725899727
105,310.0,100.0,0.45,0.511,,,,-0.01655505628345779
106,310.0,100.0,0.45,0.583,,,,-0.013776081875951562
107,310.0,100.0,0.45,0.6559999999999999,,,,-0.009928910261273918
108,310.0,100.0,0.45,0.728,,,,-0.005010372954067634
109,310.0,100.0,0.45,0.8,,,,-7.586536128285286e-05
110,310.0,100.0,0.6,0.15,,,,-0.012014260144836112
111,310.0,100.0,0.6,0.222,,,,-0.021611286976485577
112,310.0,100.0,0.6,0.294,,,,-0.028699275770444732
113,310.0,100.0,0.6,0.36700000000000005,,,,-0.03307360973457409
114,310.0,100.0,0.6,0.439,,,,-0.03548637670904212
115,310.0,100.0,0.6,0.511,,,,-0.03661928923493798
116,310.0,100.0,0.6,0.583,,,,-0.036488477199203236
117,310.0,100.0,0.6,0.6559999999999999,,,,-0.034983881920513805
118,310.0,100.0,0.6,0.728,,,,-0.03194539506323966
119,310.0,100.0,0.6,0.8,,,,-0.02778160875029982
120,310.0,105.0,0.25,0.15,,,,-0.012927903321083284
121,310.0,105.0,0.25,0.222,,,,-0.02793719088150736
122,310.0,105.0,0.25,0.294,,,,-0.04286668746306506
123,310.0,105.0,0.25,0.36700000000000005,,,,-0.05591279143932907
124,310.0,105.0,0.25,0.439,,,,-0.06760566959433773
125,310.0,105.0,0.25,0.511,,,,-0.07940864094102915
126,310.0,105.0,0.25,0.583,,,,-0.09226191405755954
