had1,z1,pt,conv
300.0,0.45,0.13526315789473686,-0.27882489417862816
300.0,0.45,0.19789473684210526,-0.28886993084660995
300.0,0.45,0.2605263157894737,-0.25166948009675566
300.0,0.45,0.3231578947368421,-0.1929487324292843
300.0,0.45,0.3857894736842105,-0.1404404723540714
300.0,0.45,0.4484210526315789,-0.09994250053180974
300.0,0.45,0.5110526315789473,-0.07070222617944862
300.0,0.45,0.5736842105263157,-0.05016568097884068
300.0,0.45,0.6363157894736842,-0.03587082074672892
300.0,0.45,0.6989473684210525,-0.02588145014729142
300.0,0.45,0.7615789473684209,-0.018833646628687015
300.0,0.45,0.8242105263157894,-0.013818035952624865
300.0,0.45,0.8868421052631578,-0.010167004052874717
300.0,0.45,0.9494736842105262,-0.007464885735733267
300.0,0.45,1.0121052631578946,-0.005430477094325273
300.0,0.45,1.0747368421052628,-0.0038723748601195472
300.0,0.45,1.1373684210526314,-0.0026595506526582995
300.0,0.45,1.2,-0.0017021588883318456
300.0,0.6,0.01,-0.07166836023513411
300.0,0.6,0.07263157894736841,-0.47275280806898284
300.0,0.6,0.13526315789473686,-0.7009319066746854
300.0,0.6,0.19789473684210526,-0.7374929720066888
300.0,0.6,0.2605263157894737,-0.6545565964920421
300.0,0.6,0.3231578947368421,-0.49537133336365946
300.0,0.6,0.3857894736842105,-0.3558278758327241
300.0,0.6,0.4484210526315789,-0.2515750684046158
300.0,0.6,0.5110526315789473,-0.17753146608794534
300.0,0.6,0.5736842105263157,-0.12595674296550188
300.0,0.6,0.6363157894736842,-0.09040454013926832
300.0,0.6,0.6989473684210525,-0.06575325688578508
300.0,0.6,0.7615789473684209,-0.048419061907195
300.0,0.6,0.8242105263157894,-0.036238401208757924
300.0,0.6,0.8868421052631578,-0.027431898067840504
300.0,0.6,0.9494736842105262,-0.020935300219484053
300.0,0.6,1.0121052631578946,-0.0160691000507872
300.0,0.6,1.0747368421052628,-0.012369442058407464
300.0,0.6,1.1373684210526314,-0.009517468263630846
300.0,0.6,1.2,-0.007292438856067543
