,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
24,0.1151566498874791,-0.1123794912955543,-0.07765359387729409,-0.06531770021829643,1.775897426515624,4.221127688214378,3.0076234855558552,0.07163833964575321,113.19678146679355
26,0.1091911468393725,-0.09169482720397212,-0.1420341069762582,-0.06597693079883704,2.408438887087933,3.943214272475964,2.8551553384581565,0.06885052400292056,110.33377508612853
27,0.1361156025978923,-0.1036537496254533,-0.10502322834162699,-0.08472054451545243,2.026363755505483,4.528731665598218,3.2204795075353254,0.08532027287192487,110.14699858886598
30,0.017895560713519568,-0.06121925994826576,-0.1102217728827104,0.003441952328084967,2.284145185574321,2.057166442018075,-0.6788177220379992,0.030472215138279583,
32,0.0674772564714933,-0.0982158244477854,-0.1528850663564373,-0.043325802848246935,2.70038116933876,2.685403526292517,1.6752822128169933,0.05711294196598388,115.57011306270479
34,0.07881506523016146,-0.08851604230316634,-0.1494735322332778,-0.048186212970324965,2.7155552251455832,2.709893007997447,1.254709468884868,0.06526473313499706,118.87005667200705
35,0.0727670246833215,-0.09158854006500056,-0.1395484971514474,-0.04551967547285835,2.4766292346812597,3.078308931782995,1.999050875283424,0.05372326782445437,110.88024905461998
37,0.08698287239392559,-0.0898873981568378,-0.1034681337021484,-0.05327340279048998,2.091421422698795,3.279895480351404,2.254213228494176,0.05867495872029487,109.69476307706869
38,0.09397607605011768,-0.09577282756275696,-0.1384367960788771,-0.07218030323269325,2.4439139056275354,2.836615437631511,2.661157887814499,0.0801140669141366,118.6704966820013
39,0.12544834832374901,-0.1057912752592118,-0.111973298038573,-0.07088647417993367,2.094581786449789,4.529959957542272,3.042593870737721,0.07091247682927831,109.6291673676767
44,0.07654522775300679,-0.09179820970909892,-0.07596142645132936,-0.04218924342058861,1.8123565196648992,3.652557823113817,1.94262255598214,0.05482732535746021,122.7007449023838
45,0.0686672033163285,-0.08903309179013487,-0.1255456779441969,-0.0322624057473984,2.468965703193974,2.577080197073862,0.9565509449168724,0.058897142983325074,132.6767603325486
46,0.1101481511574239,-0.1116509918014435,-0.08256708049897613,-0.07128889653806053,1.772791059418516,4.093099390768752,3.151413996650812,0.0760781098066367,114.09856870666336
49,0.1179797685263669,-0.1076255024813308,-0.1152169933676264,-0.08092699327358137,2.163866608102812,3.385925597907859,2.936962562103804,0.08275157963169172,112.10310416239344
52,0.111073391172875,-0.1152496367372389,-0.1105784888895958,-0.07268818155791874,2.1494249103768333,3.867008774869995,3.0653602369555246,0.08094555530867666,108.86188148383188
53,0.1112885109937459,-0.1084168585593379,-0.1360685907231754,-0.07134796780676557,2.478620565306227,3.1492734685875314,2.2903001822239406,0.08984719741684533,113.8643406184842
55,0.0408364724181508,-0.1067426888223492,-0.1107244543620446,-0.0128045786344097,2.0073109572408594,2.745939192005169,1.2136074610756842,0.0405840532719552,166.01765896128495
56,0.07776824964699472,-0.1097552391512424,-0.09386241098896192,-0.04204221600269116,1.8392449528690893,2.9682467476113,1.755812132982974,0.06721450454208974,110.68345975839858
57,0.1100010670052431,-0.09780677692819402,-0.1307158739209641,-0.06478564263077209,2.3857302204361184,3.944488233283906,2.4318241877309608,0.0759269105837585,108.75303653565537
58,0.06956429486961725,-0.110103009719471,-0.06781269925760748,-0.03815794582880636,1.6612810910563371,2.694141921611412,1.851473540809286,0.060520702690064127,120.80930130728385
60,0.09563513583886353,-0.1104502500957779,-0.09639894471204602,-0.05309260427760401,2.10186857991252,3.6671775365364887,2.281542587381169,0.06887611204323955,112.00002444545919
61,0.08586538528033613,-0.10950091858399698,-0.08460579539951521,-0.05673646293303099,1.84206707329346,2.386201759403716,2.1138479707109483,0.0704798876854599,126.77693692981606
63,0.1424294313772342,-0.1089862543577967,-0.1243461723988666,-0.07762316551484541,2.305620047501085,5.379162170213005,3.7864435844976367,0.08102568699014004,120.30253079412977
65,0.05225065957196488,-0.0934521739370109,-0.1159439185357754,-0.03125375163868385,2.2752958571320154,2.2390532383370068,1.541244242464155,0.04821007671865751,116.40493517385832
66,0.04976656157253182,-0.07636398940453101,-0.08123292852186978,-0.01863163146274518,1.8753792511865817,2.5549286574856898,0.5583017642655794,0.04002688878212537,164.59494639597338
67,0.1361520547922638,-0.1248643221607065,-0.1383112185975588,-0.09686445374652547,2.3570499622601817,4.0813237471413935,3.945376492781018,0.10137002153510001,127.96543053786941
68,0.1982818789116156,-0.1300560082245114,-0.1282458673620983,-0.1359934563540983,2.246611695181081,5.336716199581701,5.228058323554097,0.1180510615726427,159.22939033537878
70,0.02695454608749188,-0.08137006325317597,-0.08262835669779629,-0.015403974532029891,1.699046311223111,2.249085122784981,1.029923553623886,0.0372656368846449,171.56607345235355
72,0.050298345736480836,-0.09039575543172504,-0.1869738169392728,-0.032571447288890165,3.075464959300011,2.2285212542430943,1.408784709733151,0.047394003579650366,125.88337616088775
77,0.1281646517652264,-0.08861521164008067,-0.09996413093199996,-0.06988701822938083,2.048079284677629,4.766809617462603,2.781560715893348,0.06992079899116457,115.55872062855549
79,0.08702328020071605,-0.1126917652599842,-0.1248423792864835,-0.07007882789085053,2.125475694372194,2.102284172191885,2.3839020678617837,0.08348971901976449,128.38226914060604
80,0.04777103200840069,-0.09483798186399428,-0.1198396858763394,-0.017018689632074018,2.222501947195353,2.528101531682497,0.6090320247874479,0.05372863143368208,172.6022682672796
81,0.1224788277433929,-0.1100848986665714,-0.1963588413743756,-0.07668676442013851,3.321989929968542,3.632240574964869,2.748279055149451,0.07906786445291836,124.59333888778455
84,0.09709547545047686,-0.1021968580044016,-0.09671632721885592,-0.0623784112572229,1.890610988898432,3.984966703289075,3.16703581193469,0.063619153067176,109.80192789566128
85,0.07735694698795206,-0.06791954080879206,-0.1254126555363703,-0.0306328012088855,2.506821412222668,3.1641505231973235,0.920962270511508,0.0463962747205575,179.7634913414136
