,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,MSS,chi
96,0.1043568922399031,-0.09545631719831103,-0.1282933907880883,-0.0651994880168711,2.2535645065619034,3.4887451127963263,2.223700412953975,3.2196630717286414,0.3732240933014688,109.46830352290131
98,0.1031144030304581,-0.1136224895258613,-0.1080880716361213,-0.07122351329807904,1.9409730059454569,2.860427677992451,2.27769977099725,3.776514993961255,0.4822761188535917,111.57980737308357
99,0.07133553370471288,-0.1079386955620417,-0.1229235010678906,-0.04363112467502615,2.3470203584471783,2.5087060533117507,1.579959549600985,3.2115547634832478,0.3549232975232132,109.97144853192663
101,0.09700953101978016,-0.10954473658155499,-0.1176825881003076,-0.04528787133964236,1.965712707391137,4.197371915386105,2.455851708895522,2.327037762579528,0.2463128407572984,115.1425716917277
103,0.07351100235454629,-0.1053622005205631,-0.1434622661286548,-0.04122334117515607,2.555315076068975,2.9122375235774,1.623266634116695,4.1496307419056215,0.4354339691938401,114.39433810633301
104,0.07036686967754352,-0.08906829887181658,-0.09037160173127937,-0.04297836571005017,1.918493117314767,3.1600943746826364,2.061792854977579,3.5990441558004536,0.36877995410607,120.19459776197273
106,0.1139084690964059,-0.1100738465052828,-0.1105662495426134,-0.06369515833969361,2.2069059563200955,4.0838509862569,2.429273400747042,2.389619810574725,0.2856150482616438,114.09708537371284
107,0.08312075828839212,-0.09188885408241323,-0.1108241205690651,-0.05125252597290217,2.072855409584712,3.1620428500265487,1.936861312931611,4.3044717139832445,0.4798599538101971,117.50967265267893
110,0.1173073311629214,-0.09811856926507408,-0.1167713944015813,-0.07330578462194265,2.354979758239787,3.821523278739853,2.646096242191029,4.7011621809002735,0.5499125732525303,121.47237409194337
113,0.1033300583925056,-0.1078444126520077,-0.1293890825482103,-0.07301703362593225,2.275462816432352,3.568049877922848,3.1037421438421764,3.380213097833416,0.3991206272845351,109.87456118731441
115,0.126702889945077,-0.1164619779906046,-0.1137076585057133,-0.07094184869694889,1.9336128578374008,3.939381408337896,2.350329821758673,2.292694725983355,0.3087759182935552,110.05984291296707
116,0.1298950299945821,-0.1155652709335084,-0.1537816191944183,-0.08837428751777206,2.558902988509316,4.309065292602599,3.592614317285288,3.560923103340648,0.4466014952981921,113.59328428655814
117,0.1178585526033967,-0.09766427919612264,-0.09182863790954636,-0.06756255355336419,1.803272965078484,4.509035016824708,3.2195481697977715,2.612759688806542,0.2836577996145579,113.48091200720027
119,0.157187712077769,-0.117613857108624,-0.1103410049750324,-0.09711039448414202,2.009889678999722,4.534468800670477,3.3539803821354663,2.892630516801316,0.4079719627506527,109.87300224579485
120,0.1067952832596037,-0.09267175557381414,-0.1096194819049547,-0.0675849695480151,2.025149200861042,3.7871507546624303,2.418549227429749,2.573116569781346,0.3070141488949126,113.73044906670759
121,0.0964426307014944,-0.1097276538155148,-0.1115376966116613,-0.0619853862503229,2.208688392976078,3.169013220675793,2.2077298655347835,3.198535889315977,0.379564733719955,108.90311625520576
