,NUP,NDO,NST,NSEA,AST,BUP,BSEA,PP,chi
50,0.062139062577086776,-0.1093369079879634,-0.1024493471406027,-0.03757415103755906,2.000732223223405,2.4996680868075143,2.128011148690797,0.05445842930894504,114.91053586463306
52,0.111073391172875,-0.1152496367372389,-0.1105784888895958,-0.07268818155791874,2.1494249103768333,3.867008774869995,3.0653602369555246,0.08094555530867666,108.86188148383188
53,0.1112885109937459,-0.1084168585593379,-0.1360685907231754,-0.07134796780676557,2.478620565306227,3.1492734685875314,2.2903001822239406,0.08984719741684533,113.8643406184842
56,0.07776824964699472,-0.1097552391512424,-0.09386241098896192,-0.04204221600269116,1.8392449528690893,2.9682467476113,1.755812132982974,0.06721450454208974,110.68345975839858
57,0.1100010670052431,-0.09780677692819402,-0.1307158739209641,-0.06478564263077209,2.3857302204361184,3.944488233283906,2.4318241877309608,0.0759269105837585,108.75303653565537
59,0.123039406644199,-0.1041817946443253,-0.1125377862772695,-0.08258700734882753,2.182219912228291,4.151221782466681,3.397159158260292,0.08379526136453846,110.68295670464819
60,0.09563513583886353,-0.1104502500957779,-0.09639894471204602,-0.05309260427760401,2.10186857991252,3.6671775365364887,2.281542587381169,0.06887611204323955,112.00002444545919
62,0.09941724394956047,-0.09810294768827636,-0.08088465853829571,-0.06312888433124307,1.624493641529838,3.673824539792841,2.6975051215648835,0.07414396235264689,111.17767044995199
63,0.1424294313772342,-0.1089862543577967,-0.1243461723988666,-0.07762316551484541,2.305620047501085,5.379162170213005,3.7864435844976367,0.08102568699014004,120.30253079412977
64,0.07784750929695247,-0.07668154973815056,-0.1328273410907075,-0.04313119007867134,2.5435817765294417,2.8576730188493915,1.3125204161605892,0.05547173397298615,115.99529174354309
65,0.05225065957196488,-0.0934521739370109,-0.1159439185357754,-0.03125375163868385,2.2752958571320154,2.2390532383370068,1.541244242464155,0.04821007671865751,116.40493517385832
69,0.1156864466520887,-0.1067689205627663,-0.1094198437554746,-0.061232320463345535,2.1175849653015737,4.397811398226194,2.8609779260942663,0.06453541310336837,108.6967997557275
71,0.0681214521271811,-0.08983704528774758,-0.1432272561665765,-0.04125132232757955,2.6693837098529314,2.549056041454151,1.275573854024768,0.06089507107147087,111.72283057558916
73,0.1058001003813051,-0.1018208626466655,-0.09811321692795894,-0.07863077136939847,1.931385818655112,3.192269100236538,2.983356110501987,0.08335366641555078,114.82257339319808
74,0.1103204733583521,-0.1003528729342954,-0.1214923104135577,-0.0633434838323221,2.210322510673496,4.097364887778166,2.863096459638152,0.06836558053003533,105.80039982461213
75,0.06865765100415235,-0.0913465406003601,-0.1570901921334798,-0.03511356149437013,2.673170809842887,2.75160913522801,1.494343761708078,0.04906405270984029,119.8332588057502
76,0.0607550941172941,-0.1024645536433327,-0.08404292603530403,-0.0354258722365927,1.8628980027410236,2.7612229458598008,1.938466208492486,0.05445010784976947,115.88603077976181
