NUP NDO  NST  NSEA  AST   BUP  BSEA   PP  MSS
  0.1270743483875844     -0.1152889218402217     -0.1739713998233780     -0.6613460955846509E-01   2.977104371022629       4.143150079142980       2.435455018402560       3.842979047835353      0.4381200889816231    
  0.1057526638230484     -0.1177023296563461     -0.6690799166617017E-01 -0.7152726067577296E-01   1.395534118296179       3.186450032957067       2.564375965575269       2.103528728298291      0.2861081793263691    
  0.1291888932855557     -0.1112063151149055     -0.1376820042219259     -0.7086176551809789E-01   2.457960940001577       4.376189490281860       2.636217465067299       1.995202081944810      0.2503685300028364    
  0.1260639568988766     -0.1267726337175303     -0.9801311109145322E-01 -0.8806184537069384E-01   1.719698415834460       4.020053564438097       3.707060313198659       2.437090446670985      0.3357148751308280    
  0.8971762622062046E-01 -0.8037905623872067E-01 -0.9514729923654852E-01 -0.5105368589946734E-01   1.810209777722566       4.208827807086005       2.707806738136224       4.661409690404646      0.4753453394310668    
  0.6407549531042078E-01 -0.8461338736995309E-01 -0.1303595122032076     -0.3622888927181957E-01   2.396414272018499       2.805060451086355       1.358923535497430       2.053486101435193      0.2030619488054823    
  0.1264863373465489     -0.9797245081961709E-01 -0.1636422562363883     -0.6967412222322555E-01   2.886223248264255       4.543041498381211       2.874215110899795       3.987165034535643      0.4359403275219714    
  0.6318477644391818E-01 -0.8536912950513521E-01 -0.1013917841595766     -0.2777190800011412E-01   2.014511100256759       3.235337923049214       1.539519206947149       3.049419498163060      0.2856167330508331    
  0.1143770740642039     -0.1137420679144304     -0.1349473741786658     -0.7881567168298528E-01   2.456885751654655       3.349572961131734       2.751035618321330       2.495122669712726      0.3311952661913392    
  0.1407019290457259     -0.7883548238311955E-01 -0.1554879474366961     -0.7107213126082630E-01   2.955148654466613       5.266966110938564       2.808937189560166       6.000969635775724      0.6417840715803602    
  0.3532444086673771E-01 -0.1248520158274465     -0.7022820427392368E-01 -0.3025490038271531E-01   1.478561377381761       1.552214313577894       1.331396872581103       4.612147847569203      0.5159089213837542    
  0.5194107181847311E-01 -0.9393457908086281E-01 -0.1132251370127995     -0.3306009996596052E-01   2.201649840666425       2.383426113560023       1.344826433560973       3.954988747413936      0.4221614241713100    
  0.9940163257644385E-01 -0.1050415005369804     -0.1061607707273221     -0.4761621181764601E-01   1.885449723821371       3.738786474704112       1.945421341263989       1.272334299650599      0.1474745252168555    
  0.8977873123781399E-01 -0.1198808866280271     -0.8692050327048984E-01 -0.6350364688758327E-01   1.865133375688867       3.278575542894674       2.980584951922991       4.085580837787884      0.4771404104904369    
  0.1098766070741922     -0.1047657642076331     -0.1246237494087721     -0.5528608616066848E-01   2.316807238034686       4.271977793744117       2.656412174592130       3.268221581170075      0.3583257882496621    
  0.1032639903942508     -0.1160690915472037     -0.1637653778619285     -0.5897395050815947E-01   2.592865856927231       3.443687049614300       2.219516344018508       3.982800069904023      0.4796295641409675    
  0.1540654122985689     -0.1248014032820306     -0.1391640850471661     -0.8849532867732451E-01   2.424784907806482       5.304264644324570       3.918198651238222       2.188496980275668      0.3139353890038775    
  0.1058415745945634     -0.1023371585867979     -0.1032089911094798     -0.6238225487628339E-01   1.920078206948583       4.053773190281067       2.831436644358796       3.631881208488716      0.4169020236833107    
  0.7408278248352959E-01 -0.9917836955062213E-01 -0.1109855383160413     -0.4785508955403679E-01   2.072998830356230       2.819567476178276       2.106839744122357       3.766810211655007      0.3982450256328594    
  0.1376937821428529     -0.1086999655538380     -0.1328228545292567     -0.7832283732029818E-01   2.194144478947242       4.636819252549271       3.332694364147432       1.750634773010692      0.2357641950005126    
  0.8246415016376060E-01 -0.1189663674502640     -0.9289277542252443E-01 -0.4378226241319638E-01   1.975254251754555       2.619188763601779       1.307243575320049       2.201046066486144      0.2691211914334015    
  0.1539784082216833     -0.1193203675254657     -0.1264212277604624     -0.9483570040850504E-01   2.152173502539182       4.410593292610057       3.346132358689691       2.834545822944063      0.3970138968260741    
  0.1317370403985177     -0.8733118130863744E-01 -0.1399407517569713     -0.7586047746171318E-01   2.441753891792122       4.565302018117987       2.968289057294371       4.340936422541451      0.4820071697331805    
  0.5938396859305370E-01 -0.8984075240922051E-01 -0.1588552037758431     -0.2598795661223627E-01   2.725754562750758       2.766333902436094       1.058263339840572       3.113782874253229      0.2962182801368163    
  0.8781547778697660E-01 -0.1018424773536190     -0.1411909626306149     -0.6173591806311517E-01   2.386759335826005       2.888235297284251       2.186159491700492       3.584552394961910      0.4131064941982424    
  0.1120282843792153     -0.8381421610947637E-01 -0.1411479887262697     -0.6417699067181105E-01   2.432141542302584       3.779601068745772       2.168212634367063       2.739106298699486      0.3175336777919733    
  0.8323426718491309E-01 -0.1043695726302011     -0.1305284099824850     -0.5014504580965920E-01   2.383936847523140       3.245251039677436       2.283929660259276       3.296624205963643      0.3553986571918707    
  0.1246436327647698     -0.1168592849123201     -0.1374222967964309     -0.6188904088524372E-01   2.308058848294396       3.624930696510692       1.758324395519590       2.371523149307714      0.2958483922446742    
  0.1528644603960912     -0.1110481324995297     -0.1223161469556561     -0.9624143186368583E-01   2.341928887052378       4.624106393259339       3.746803106438763       4.172694980832656      0.5170914565816096    
  0.7671504053540130E-01 -0.1110119390796397     -0.1243777308975896     -0.4617819702798409E-01   2.185770770362625       3.051354584973130       2.383414877458245       2.465035058647834      0.2515973402770063    
  0.1201906418767701     -0.1176940242102208     -0.8626074569134468E-01 -0.7128437531174436E-01   1.822642430905337       3.980227314532830       2.790842433742217       2.863012102620580      0.3513405091784074    
  0.5308204890522093E-01 -0.9752919199033946E-01 -0.1209402635180278     -0.3106392477164516E-01   2.112271504836092       2.052631840070461      0.8149570746564607       1.397686328185399      0.1538865994454430    
  0.1126990969776513     -0.1155636042470985     -0.1051815387600142     -0.6172094361990789E-01   2.047779497344626       3.523036138393759       2.288296803156588       3.476712478974215      0.4111479508866368    
  0.1088116722822407     -0.1114211248836314     -0.9988218393564610E-01 -0.5121981370620914E-01   1.941266804984839       4.037404680765330       2.083607037571126       3.135920417988072      0.3544048787304251    
