,h1,h2,z1,z2,P_exp,err,unpol1,unpol2
84,310,105,0.35,0.25,-0.0249,0.003943,0.026774870231527654,0.04413407550127944
85,310,105,0.35,0.35,-0.0311,0.006242,0.012749443486221685,0.01975875699276904
86,310,105,0.35,0.45,-0.0536,0.009429,0.006238554807159331,0.008772532677302125
87,310,105,0.35,0.6,-0.0625,0.01122,0.002222844077048805,0.0026258140348523287
88,310,105,0.45,0.25,-0.0248,0.005228,0.012166954394726703,0.02371196890566942
89,310,105,0.45,0.35,-0.0432,0.00831,0.0057584062895118734,0.010524511181136101
90,310,105,0.45,0.45,-0.0269,0.01273,0.0027593285274436856,0.004498071158419914
91,310,105,0.45,0.6,-0.0834,0.01548,0.0009315306903101318,0.001209638934487129
92,310,105,0.6,0.25,-0.0196,0.006719,0.0033773894120464024,0.0066606267718322875
93,310,105,0.6,0.35,-0.0526,0.01095,0.001550212125240253,0.002930426972387807
94,310,105,0.6,0.45,-0.0417,0.01614,0.0007077554300364273,0.0012153152503432544
95,310,105,0.6,0.6,-0.0534,0.01926,0.00021170446662776627,0.00029334494106831433
96,310,200,0.25,0.25,-0.013,0.0063100000000000005,0.006147861473797635,0.017015937344972986
97,310,200,0.25,0.35,-0.0007,0.009165999999999999,0.003518830656144277,0.009103858378235479
98,310,200,0.25,0.45,0.0115,0.01254,0.002099005899640252,0.004627460515737564
99,310,200,0.25,0.6,0.0601,0.01345,0.0010341532365827038,0.0016018539253853468
100,310,200,0.35,0.25,-0.0023,0.006203,0.006472512964396565,0.0186889362734628
101,310,200,0.35,0.35,-0.0032,0.009427,0.0038707145023651962,0.0104514232484037
102,310,200,0.35,0.45,0.0029,0.01341,0.0023362034217487794,0.005371565036146902
103,310,200,0.35,0.6,-0.0094,0.01481,0.0011555365587754486,0.0018448174013158633
104,310,200,0.45,0.25,-0.015,0.008334999999999999,0.00476276805529143,0.012945239129566959
105,310,200,0.45,0.35,-0.0018,0.01291,0.0028441086541165462,0.007357376276061135
106,310,200,0.45,0.45,-0.0465,0.01875,0.001675884943659796,0.003776997580209537
107,310,200,0.45,0.6,-0.0141,0.02112,0.0008034110559586693,0.0012833226871069574
108,310,200,0.6,0.25,-0.0084,0.011009999999999999,0.0018787099764393741,0.004220110443638284
109,310,200,0.6,0.35,-0.0213,0.01725,0.001124250625315853,0.002441747297590673
110,310,200,0.6,0.45,-0.0577,0.02441,0.000653668231804581,0.001272542262663168
111,310,200,0.6,0.6,-0.051,0.02754,0.00030741767729460353,0.0004497451252834511
112,310,205,0.25,0.25,-0.0236,0.005228,0.0063275165305239755,0.01719558767703919
113,310,205,0.25,0.35,-0.0453,0.007755,0.0035788223036187163,0.009163845177319364
114,310,205,0.25,0.45,-0.0566,0.010879999999999999,0.0021107821508494287,0.004639232798732887
115,310,205,0.25,0.6,-0.1095,0.01165,0.0010271675349400235,0.001594875206004656
116,310,205,0.35,0.25,-0.0089,0.004604,0.007281017555827536,0.019497572593849904
117,310,205,0.35,0.35,-0.0283,0.0067540000000000005,0.004265567246575154,0.010846096877540118
118,310,205,0.35,0.45,-0.048,0.009595000000000001,0.0025186929206408417,0.0055539148189634405
119,310,205,0.35,0.6,-0.0958,0.01111,0.0012157168220505042,0.001904918311749281
120,310,205,0.45,0.25,-0.013,0.005961999999999999,0.006855096390445664,0.015037641707563476
121,310,205,0.45,0.35,-0.0226,0.008415,0.0040727256200612585,0.008585814336620643
122,310,205,0.45,0.45,-0.0597,0.01162,0.002371146356474875,0.004472204917876071
123,310,205,0.45,0.6,-0.0826,0.01265,0.0011211887226595214,0.001601099090531531
124,310,205,0.6,0.25,-0.0508,0.007599,0.003878694063021477,0.0062201095072318465
125,310,205,0.6,0.35,-0.0609,0.01048,0.002353013726415366,0.003670547728653103
126,310,205,0.6,0.45,-0.0621,0.01403,0.0013724183586791652,0.0019912855488719954
127,310,205,0.6,0.6,-0.0828,0.01405,0.0006483751682043041,0.0007906973049419671
