,h1,h2,z1,z2,P_exp,err,unpol1,unpol2,unpol3,unpol4
86,310,105,0.35,0.45,-0.0536,0.009429,0.006525904786197768,0.00917648430417288,0.015642352110972875,0.0219884618140288
87,310,105,0.35,0.6,-0.0625,0.01122,0.0023272015212025647,0.0027490730351001492,0.005663048881598011,0.006688103788432223
88,310,105,0.45,0.25,-0.0248,0.005228,0.012753497701684479,0.024855256464441415,0.022413298533473253,0.043679520167801446
89,310,105,0.45,0.35,-0.0432,0.00831,0.006059436292116447,0.011076607757648882,0.011191243055063216,0.02046406191625278
90,310,105,0.45,0.45,-0.0269,0.01273,0.0029083911656811842,0.004741104918547821,0.005479201778833201,0.00893563461119928
91,310,105,0.45,0.6,-0.0834,0.01548,0.000982712832251176,0.0012763262898020276,0.0018791711458403734,0.002440649775399457
92,310,105,0.6,0.25,-0.0196,0.006719,0.0035566952239422553,0.007015184257502336,0.005231360456797981,0.010323570390591744
93,310,105,0.6,0.35,-0.0526,0.01095,0.001639496149257868,0.0031010224922491856,0.002508881207794053,0.004749585146992925
94,310,105,0.6,0.45,-0.0417,0.01614,0.0007504590346962933,0.0012885121939958926,0.0011667387911659024,0.002004122774606062
95,310,105,0.6,0.6,-0.0534,0.01926,0.00022482991396028052,0.0003115477395426311,0.0003541766067546988,0.0004910988350807326
96,310,200,0.25,0.25,-0.013,0.0063100000000000005,0.006292041761952618,0.017415002364705577,0.02434761726488852,0.0673811310330552
97,310,200,0.25,0.35,-0.0007,0.009165999999999999,0.0036064541865458346,0.00933060290096551,0.01463556852906661,0.03785953425638046
98,310,200,0.25,0.45,0.0115,0.01254,0.002152471502978196,0.004745348375414969,0.008896978291863943,0.01961138150187715
99,310,200,0.25,0.6,0.0601,0.01345,0.0010608170128490924,0.0016431847154254023,0.004431345705451831,0.006863505516039074
100,310,200,0.35,0.25,-0.0023,0.006203,0.006745859210600501,0.019478873977356263,0.015142336065383248,0.043747379781517846
101,310,200,0.35,0.35,-0.0032,0.009427,0.0040479558058755674,0.010930903927036984,0.0096623138126477,0.02611712096457343
102,310,200,0.35,0.45,0.0029,0.01341,0.0024464695083030175,0.005625583221300935,0.005975760735559694,0.013763934780339349
