,h1,h2,z1,z2,P_exp,err,unpol1
73,310,100,0.45,0.35,-0.0199,0.007129000000000001,0.005918923410950466
74,310,100,0.45,0.45,-0.0218,0.01061,0.0028699434172575196
75,310,100,0.45,0.6,-0.0068,0.01321,0.0009938012191219312
76,310,100,0.6,0.25,-0.0245,0.006028,0.0033521674073518277
77,310,100,0.6,0.35,-0.0176,0.009328,0.0015396027731127643
78,310,100,0.6,0.45,-0.0205,0.01381,0.000703785841559107
79,310,100,0.6,0.6,-0.0173,0.01681,0.00021133111755900486
80,310,105,0.25,0.25,-0.0359,0.004079999999999999,0.02970439703262572
81,310,105,0.25,0.35,-0.0486,0.006194,0.013658661058804011
82,310,105,0.25,0.45,-0.0737,0.008927,0.006630624181251365
83,310,105,0.25,0.6,-0.1047,0.01069,0.002381568897701952
84,310,105,0.35,0.25,-0.0249,0.003943,0.026596955379944578
85,310,105,0.35,0.35,-0.0311,0.006242,0.012658896763102731
86,310,105,0.35,0.45,-0.0536,0.009429,0.00619311329443802
87,310,105,0.35,0.6,-0.0625,0.01122,0.0022063656057711065
88,310,105,0.45,0.25,-0.0248,0.005228,0.012075018178965587
89,310,105,0.45,0.35,-0.0432,0.00831,0.0057112655949706215
90,310,105,0.45,0.45,-0.0269,0.01273,0.0027364839339806355
91,310,105,0.45,0.6,-0.0834,0.01548,0.0009235907597851831
92,310,105,0.6,0.25,-0.0196,0.006719,0.003349507524675819
93,310,105,0.6,0.35,-0.0526,0.01095,0.001536193578776147
94,310,105,0.6,0.45,-0.0417,0.01614,0.0007010475035384508
95,310,105,0.6,0.6,-0.0534,0.01926,0.00020978460960382006
96,310,200,0.25,0.25,-0.013,0.0063100000000000005,0.006121194618546823
97,310,200,0.25,0.35,-0.0007,0.009165999999999999,0.0035028910716503503
98,310,200,0.25,0.45,0.0115,0.01254,0.0020893391215643215
99,310,200,0.25,0.6,0.0601,0.01345,0.0010293368422859483
100,310,200,0.35,0.25,-0.0023,0.006203,0.006428625628331684
101,310,200,0.35,0.35,-0.0032,0.009427,0.00384263478501186
102,310,200,0.35,0.45,0.0029,0.01341,0.002318823390196905
103,310,200,0.35,0.6,-0.0094,0.01481,0.0011468072545737667
104,310,200,0.45,0.25,-0.015,0.008334999999999999,0.004725958647701263
105,310,200,0.45,0.35,-0.0018,0.01291,0.0028205518062101656
106,310,200,0.45,0.45,-0.0465,0.01875,0.001661519007960188
107,310,200,0.45,0.6,-0.0141,0.02112,0.0007964071144748647
108,310,200,0.6,0.25,-0.0084,0.011009999999999999,0.001862787797646138
109,310,200,0.6,0.35,-0.0213,0.01725,0.0011138809416956466
110,310,200,0.6,0.45,-0.0577,0.02441,0.0006474363225807617
111,310,200,0.6,0.6,-0.051,0.02754,0.0003044368092848806
112,310,205,0.25,0.25,-0.0236,0.005228,0.006300070691808979
113,310,205,0.25,0.35,-0.0453,0.007755,0.00356261139499015
114,310,205,0.25,0.45,-0.0566,0.010879999999999999,0.002101061083548903
115,310,205,0.25,0.6,-0.1095,0.01165,0.0010223983661968152
116,310,205,0.35,0.25,-0.0089,0.004604,0.007231634436401482
117,310,205,0.35,0.35,-0.0283,0.0067540000000000005,0.004234623898350265
118,310,205,0.35,0.45,-0.048,0.009595000000000001,0.0024999641608811933
119,310,205,0.35,0.6,-0.0958,0.01111,0.001206537003693772
120,310,205,0.45,0.25,-0.013,0.005961999999999999,0.0068021104766424955
121,310,205,0.45,0.35,-0.0226,0.008415,0.004038992528374575
122,310,205,0.45,0.45,-0.0597,0.01162,0.0023508414247632612
123,310,205,0.45,0.6,-0.0826,0.01265,0.0011114189764720667
124,310,205,0.6,0.25,-0.0508,0.007599,0.0038457917765884315
125,310,205,0.6,0.35,-0.0609,0.01048,0.002331353803488351
126,310,205,0.6,0.45,-0.0621,0.01403,0.0013592957085747336
127,310,205,0.6,0.6,-0.0828,0.01405,0.0006420793101651474
