Unnamed: 0,had1,had2,z1,z2,conv,UP,DO,ST,UPb,DOb,STb
38,300.0,100.0,0.6,0.728,-0.11147444880081514,0.0006409754251692099,-0.048866828219268466,-0.025372928904921203,-0.0032036598807745876,-0.00041391992735266835,-0.00466933533131818
39,300.0,100.0,0.6,0.8,-0.1346594278591777,0.0006105494642846678,-0.06666284969803143,-0.023923107212963677,-0.004379893014355167,-0.0003943291951095616,-0.004402527203815969
40,300.0,105.0,0.25,0.15,-0.0011178771015452357,-0.008055108912190903,0.0012354092384987952,0.00030259327856534704,0.004832891765257195,0.001325935855533513,0.000797581159039255
41,300.0,105.0,0.25,0.222,0.0018516736965427628,0.007815015683425911,-0.0011037923233043934,-0.0003078374472079776,-0.003990292592228653,-0.0013665350171493842,-0.000811403839186078
42,300.0,105.0,0.25,0.294,0.008985463823132178,0.02225685402203918,-0.0026788889254864,-0.0006850508909002316,-0.009877047433086235,-0.003918662391337942,-0.0018056702586243493
43,300.0,105.0,0.25,0.36700000000000005,0.01795143260359415,0.03339187064612863,-0.0035565219964083443,-0.0008858567141150747,-0.012979305815533798,-0.005966354566944634,-0.0023349580933735912
44,300.0,105.0,0.25,0.439,0.028657675921595308,0.04293120097525845,-0.0039990242684890724,-0.0009788750041316208,-0.014541641412235148,-0.007737510172759042,-0.002580137483725485
45,300.0,105.0,0.25,0.511,0.04228367744126418,0.05232701703806121,-0.004151315832721779,-0.001001856033486497,-0.015007806035679193,-0.00948936953484448,-0.002640711321041678
46,300.0,105.0,0.25,0.583,0.05951379048879476,0.062168758777961367,-0.0040094765678169424,-0.0009552156125045857,-0.01451009682387727,-0.011289397750520907,-0.0025177756061401397
47,300.0,105.0,0.25,0.6559999999999999,0.07966610962142749,0.07220125627320041,-0.0036042831971665767,-0.0008463121629061813,-0.013075529842800878,-0.013091613336761154,-0.002230725807922921
48,300.0,105.0,0.25,0.728,0.10152859467757709,0.08174084660502712,-0.002941431352009232,-0.0006825739945471459,-0.010711058807774107,-0.014751163303615422,-0.0017991416077783077
49,300.0,105.0,0.25,0.8,0.1208756452157743,0.08966132157689025,-0.0022357202920424233,-0.00051348835270041,-0.00818961624114833,-0.016064265630801593,-0.0013534624345976848
50,300.0,105.0,0.35,0.15,-0.0005925995527049945,-0.005387195666892242,0.002315913734933087,0.0008515268175087219,0.003249261228906933,0.0010774201754823079,0.0009469681282742943
51,300.0,105.0,0.35,0.222,-0.004821735332855879,0.0045806499100637795,-0.0016390083004877275,-0.0005878786579170236,-0.0023352952528921766,-0.0009067175298779933,-0.0006537696064215677
52,300.0,105.0,0.35,0.294,-0.004736905189917529,0.01466014353339727,-0.004545347629661003,-0.0015967768879435633,-0.006471716514683073,-0.002917339204171368,-0.0017757477389513676
53,300.0,105.0,0.35,0.36700000000000005,-0.0022829495681028753,0.022456460329195568,-0.0061389357043331845,-0.0021582686855383896,-0.008699767924150557,-0.004505350930658307,-0.0024001729780358614
54,300.0,105.0,0.35,0.439,0.001911306712203838,0.029223132273868684,-0.006968834999341486,-0.002429779958311243,-0.009868626248246758,-0.005890452183204077,-0.0027021159309722157
55,300.0,105.0,0.35,0.511,0.008242604635026213,0.03619174044218506,-0.007334727148799005,-0.0025279956018215326,-0.01038307081266476,-0.007323088373573574,-0.002811339835833254
56,300.0,105.0,0.35,0.583,0.01720632865525855,0.04367833991915846,-0.007209241974285864,-0.0024536160840491756,-0.010210347765197372,-0.00885601297958799,-0.0027286236708475137
57,300.0,105.0,0.35,0.6559999999999999,0.028573601129172368,0.05142684195292517,-0.006590515140310301,-0.0022122452304688804,-0.00933052948318983,-0.010431451677810849,-0.0024601993526286
58,300.0,105.0,0.35,0.728,0.04176367842023561,0.058830041965409155,-0.005454734419345248,-0.0018090664723023303,-0.007720005927267683,-0.011918324279854751,-0.0020118312846704564
